rate_hz,time_s,mean_fleet_rms_error_m,std_fleet_rms_error_m,p95_fleet_rms_error_m,mean_centroid_error_m,std_centroid_error_m,p95_centroid_error_m,mean_shape_rms_error_m,std_shape_rms_error_m,p95_shape_rms_error_m
0,16.9,1.12025,0.3018851,1.587217,0.5182459,0.2195576,0.7995914,0.9723087,0.2933989,1.391368
0,17,1.126942,0.3035686,1.596437,0.5212998,0.2209613,0.8044439,0.9781368,0.2949678,1.399357
0,17.1,1.133628,0.3052518,1.605669,0.5243479,0.2223644,0.8093291,0.9839616,0.2965363,1.407339
0,17.2,1.140316,0.3069325,1.614886,0.527399,0.2237597,0.8142107,0.9897884,0.298102,1.415307
0,17.3,1.147,0.3086076,1.624097,0.5304466,0.2251524,0.8191186,0.995613,0.2996624,1.423252
0,17.4,1.15368,0.3102826,1.633292,0.5334885,0.2265485,0.823997,1.001435,0.3012213,1.431195
0,17.5,1.160366,0.3119618,1.642513,0.5365323,0.227949,0.8288978,1.007263,0.3027835,1.439157
0,17.6,1.167055,0.3136412,1.651748,0.5395725,0.2293512,0.8338059,1.013096,0.3043453,1.447131
0,17.7,1.173739,0.3153196,1.660929,0.5426037,0.2307475,0.8387209,1.018929,0.3059081,1.455101
0,17.8,1.18043,0.3170026,1.669782,0.5456345,0.232156,0.8436225,1.024768,0.3074701,1.463084
0,17.9,1.187121,0.3186799,1.678672,0.5486712,0.2335651,0.8484921,1.030606,0.3090242,1.471069
0,18,1.193815,0.3203522,1.687541,0.5516972,0.2349644,0.8533444,1.036454,0.3105745,1.479058
0,18.1,1.20052,0.3220209,1.69642,0.5547302,0.2363597,0.8582178,1.042312,0.3121197,1.487056
0,18.2,1.20723,0.3236887,1.705327,0.5577601,0.237758,0.8631178,1.048177,0.3136655,1.49504
0,18.3,1.21394,0.325352,1.714193,0.5607915,0.2391533,0.8680229,1.054042,0.3152037,1.50301
0,18.4,1.220643,0.3270226,1.722994,0.563824,0.2405503,0.8729397,1.0599,0.3167439,1.510984
0,18.5,1.22735,0.3286936,1.731745,0.5668443,0.2419498,0.8778257,1.065769,0.3182801,1.518963
0,18.6,1.23406,0.3303674,1.740502,0.5698722,0.2433541,0.8826744,1.071635,0.3198215,1.526948
0,18.7,1.240769,0.3320509,1.749259,0.5729005,0.2447627,0.8875039,1.077501,0.3213737,1.534949
0,18.8,1.247483,0.3337371,1.757985,0.5759292,0.2461725,0.8923485,1.083371,0.3229292,1.542964
0,18.9,1.254202,0.3354189,1.766715,0.5789608,0.2475865,0.8972151,1.089243,0.3244813,1.55097
0,19,1.260924,0.3370921,1.775465,0.5819972,0.2490047,0.9020595,1.095114,0.3260284,1.558957
0,19.1,1.267642,0.3387689,1.784214,0.5850358,0.2504257,0.9069109,1.10098,0.3275766,1.566956
0,19.2,1.274351,0.3404499,1.792963,0.5880685,0.2518388,0.9117531,1.10684,0.3291304,1.574965
0,19.3,1.281059,0.3421396,1.801699,0.5911007,0.253257,0.9166191,1.112699,0.3306894,1.582994
0,19.4,1.287766,0.3438213,1.810433,0.5941316,0.254673,0.921484,1.118558,0.3322384,1.591017
0,19.5,1.294475,0.3455052,1.819195,0.5971648,0.256079,0.9263613,1.124421,0.3337917,1.599056
